medal,beer_name,brewery,city,state,category,year,macro_category,state_area,region,state_name,state_division
Gold,Volksbier Vienna,Wibby Brewing,Longmont,CO,American Amber Lager,2020,lager,104247,West,Colorado,Mountain
Silver,Oktoberfest,Founders Brewing Co.,Grand Rapids,MI,American Amber Lager,2020,lager,58216,North Central,Michigan,East North Central
Bronze,Amber Lager,Skipping Rock Beer Co.,Staunton,VA,American Amber Lager,2020,lager,40815,South,Virginia,South Atlantic
Gold,Lager at World's End,Epidemic Ales,Concord,CA,American Lager,2020,lager,158693,West,California,Pacific
Silver,Seismic Tremor,Seismic Brewing Co.,Santa Rosa,CA,American Lager,2020,lager,158693,West,California,Pacific
Bronze,Lite Thinking,Pollyanna Brewing Co.,Lemont,IL,American Lager,2020,lager,56400,North Central,Illinois,East North Central
Gold,Beachscape,Ventura Coast Brewing Co.,Ventura,CA,American Pilsener,2020,pilsener,158693,West,California,Pacific
Silver,Imagine a World with Beer Cellars Instead of 401ks,Freetail Brewing Co.,San Antonio,TX,American Pilsener,2020,pilsener,267339,South,Texas,West South Central
Bronze,Pilsner,Old Town Brewing,Portland,OR,American Pilsener,2020,pilsener,96981,West,Oregon,Pacific
Gold,Tank 7,Boulevard Brewing Co.,Kansas City,MO,American-Belgo-Style Ale,2020,ale,69686,North Central,Missouri,West North Central
Silver,Dear You,Ratio Beerworks,Denver,CO,American-Belgo-Style Ale,2020,ale,104247,West,Colorado,Mountain
Gold,Avalon Amber Ale,Bowigens Beer Co.,Casselberry,FL,American-Style Amber/Red Ale,2020,ale,58560,South,Florida,South Atlantic
Silver,Justin's Easy Going Amber,Zuni Street Brewing Co.,Denver,CO,American-Style Amber/Red Ale,2020,ale,104247,West,Colorado,Mountain
Bronze,Paulie's Not Irish,Old Town Brewing,Portland,OR,American-Style Amber/Red Ale,2020,ale,96981,West,Oregon,Pacific
Gold,Wookey Jack,Firestone Walker Brewing Co. - The Propagator,Marina del Rey,CA,American-Style Black Ale or American-Style Stout,2020,ale,158693,West,California,Pacific
Gold,Brown Ale,Second Street Brewery,Santa Fe,NM,American-Style Brown Ale,2020,ale,121666,West,New Mexico,Mountain
Silver,Wallops Island,Rocket Frog Brewing Co.,Sterling,VA,American-Style Brown Ale,2020,ale,40815,South,Virginia,South Atlantic
Bronze,All-American Brown,Auburn Alehouse,Auburn,CA,American-Style Brown Ale,2020,ale,158693,West,California,Pacific
Gold,Moonlite,Moontown Brewing Co.,Whitestown,IN,American-Style Cream Ale,2020,ale,36291,North Central,Indiana,East North Central
Bronze,Let's Talk About Mex,Cannonball Creek Brewing Co.,Golden,CO,American-Style Cream Ale,2020,ale,104247,West,Colorado,Mountain
Gold,Strawberry Zwickelbier,Twin Sisters Brewing Co.,Bellingham,WA,American-Style Fruit Beer,2020,fruit,68192,West,Washington,Pacific
Silver,Everything But The Seeds,1623 Brewing Co.,Eldersburg,MD,American-Style Fruit Beer,2020,fruit,10577,South,Maryland,South Atlantic
Bronze,"Berry, Berry, Quite Contrary",Territorial Brewing Co.,Springfield,MI,American-Style Fruit Beer,2020,fruit,58216,North Central,Michigan,East North Central
Gold,IPA,Perry Street Brewing,Spokane,WA,American-Style India Pale Ale,2020,ale,68192,West,Washington,Pacific
Silver,Updrift India Pale Ale,Pelican Brewing Co. - Tillamook,Tillamook,OR,American-Style India Pale Ale,2020,ale,96981,West,Oregon,Pacific
Gold,Featherweight Pale Ale,Cannonball Creek Brewing Co.,Golden,CO,American-Style Pale Ale,2020,ale,104247,West,Colorado,Mountain
Silver,Somewhere Golden,Institution Ale Co.,Camarillo,CA,American-Style Pale Ale,2020,ale,158693,West,California,Pacific
Bronze,Pantsless,Alarmist Brewing,Chicago,IL,American-Style Pale Ale,2020,ale,56400,North Central,Illinois,East North Central
Gold,Vice Sans Fruit,Wild Barrel Brewing Co.,San Marcos,CA,American-Style Sour Ale,2020,ale,158693,West,California,Pacific
Silver,Mirage,New Terrain Brewing Co.,Golden,CO,American-Style Sour Ale,2020,ale,104247,West,Colorado,Mountain
